,icc,pval
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.8101708746007958,0.44104358553886414
wavelet-LHH_glszm_ZoneEntropy,0.7773146040705733,0.9528931677341461
wavelet-LHH_ngtdm_Busyness,0.8827521686422491,0.31257040798664093
wavelet-LHH_ngtdm_Strength,0.9434662335034045,0.1775200217962265
wavelet-LHL_firstorder_10Percentile,0.7759797931540687,0.6616804599761963
wavelet-LHL_firstorder_90Percentile,0.7552531442360325,0.8407831341028214
wavelet-LHL_firstorder_Energy,0.8969731120502878,0.27924175560474396
wavelet-LHL_firstorder_Entropy,0.7770858280942124,0.8593128323554993
wavelet-LHL_firstorder_Mean,0.8833843429377425,0.31257040798664093
wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.7567023251864681,0.7676084339618683
wavelet-LHL_firstorder_Median,0.9148533255340487,0.16235288977622986
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.7578555390332298,0.5303222090005875
wavelet-LHL_firstorder_TotalEnergy,0.8110446942149375,0.1698138564825058
wavelet-LHL_firstorder_Uniformity,0.8035323482332518,0.4553176909685135
wavelet-LHL_glcm_DifferenceAverage,0.7569766553588625,0.6616804599761963
wavelet-LHL_glcm_DifferenceEntropy,0.7928206452396125,0.6276643574237823
wavelet-LHL_glcm_Id,0.806803937792361,0.41325296461582184
wavelet-LHL_glcm_Idm,0.8171478542204019,0.3011907488107681
wavelet-LHL_glcm_Imc1,0.9397068452993013,0.7317177355289459
wavelet-LHL_glcm_Imc2,0.9380385119611323,0.6789510101079941
wavelet-LHL_glcm_InverseVariance,0.8136171850153524,0.27924175560474396
wavelet-LHL_glcm_JointEnergy,0.8254475484114215,0.3361395001411438
wavelet-LHL_glcm_JointEntropy,0.7847795420738278,0.7317177355289459
wavelet-LHL_glcm_MCC,0.7842519430985397,0.8779177963733673
wavelet-LHL_glcm_MaximumProbability,0.8121446160348049,0.4698396325111389
wavelet-LHL_glcm_SumEntropy,0.7623653637366248,0.9717257022857666
wavelet-LHL_gldm_DependenceNonUniformity,0.9492103965282966,0.09056484699249268
wavelet-LHL_gldm_DependenceNonUniformityNormalized,0.7901685111965534,0.324220210313797
wavelet-LHL_gldm_DependenceVariance,0.7930235903590462,0.2686719596385956
wavelet-LHL_gldm_LargeDependenceEmphasis,0.8248444446846818,0.23857179284095764
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.7701643324788726,0.219833105802536
wavelet-LHL_gldm_SmallDependenceEmphasis,0.8022980877163493,0.6789510101079941
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.8335856905579261,0.3011907488107681
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.8052320850207382,0.4996110200881958
wavelet-LHL_glrlm_LongRunEmphasis,0.8207778643021042,0.29008127748966217
wavelet-LHL_glrlm_RunEntropy,0.7657355511698315,0.6789510101079941
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.8116225785956486,0.29008127748966217
wavelet-LHL_glrlm_RunPercentage,0.81399315738198,0.27924175560474396
wavelet-LHL_glrlm_RunVariance,0.8200272240002537,0.29008127748966217
wavelet-LHL_glrlm_ShortRunEmphasis,0.8156889309832528,0.27924175560474396
wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.8026335815971529,0.6276643574237823
wavelet-LHL_glszm_LargeAreaEmphasis,0.8957106060665033,0.12253367900848389
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.9033694059809155,0.7495975196361542
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.7674373297720833,0.31257040798664093
wavelet-LHL_glszm_SizeZoneNonUniformity,0.9389404633937567,0.12860044836997986
wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,0.8188723239960009,0.7676084339618683
wavelet-LHL_glszm_SmallAreaEmphasis,0.8254792935021688,0.7857417166233063
wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.7985299545903464,0.29008127748966217
wavelet-LHL_glszm_ZoneEntropy,0.8200546953824551,0.10562613606452942
wavelet-LHL_glszm_ZonePercentage,0.7948529199037685,0.5303222090005875
wavelet-LHL_glszm_ZoneVariance,0.8953910476144664,0.12253367900848389
wavelet-LHL_ngtdm_Busyness,0.9452445250017578,0.7857417166233063
wavelet-LHL_ngtdm_Coarseness,0.8878757633964184,0.1854744255542755
wavelet-LHL_ngtdm_Contrast,0.8588857682651345,0.41325296461582184
wavelet-LLH_firstorder_10Percentile,0.8916720461119991,0.4553176909685135
wavelet-LLH_firstorder_90Percentile,0.7817994325792013,0.3011907488107681
wavelet-LLH_firstorder_Energy,0.9413370022912617,0.9717257022857666
wavelet-LLH_firstorder_InterquartileRange,0.9092583735475768,0.31257040798664093
wavelet-LLH_firstorder_Maximum,0.7806455177427408,0.6963860541582108
wavelet-LLH_firstorder_Mean,0.8667283388272361,0.594396710395813
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.8374193027918683,0.44104358553886414
wavelet-LLH_firstorder_Median,0.9122953439905519,0.6445824354887009
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.8994404509925971,0.324220210313797
wavelet-LLH_firstorder_RootMeanSquared,0.7881167172361268,0.4846055656671524
wavelet-LLH_firstorder_TotalEnergy,0.9472324750197711,0.8039880394935608
wavelet-LLH_firstorder_Uniformity,0.7551562131622555,0.16235288977622986
wavelet-LLH_firstorder_Variance,0.8294169829955998,0.6276643574237823
wavelet-LLH_glcm_ClusterTendency,0.8109758852523014,0.7495975196361542
wavelet-LLH_glcm_Contrast,0.8361080369850616,0.5148514956235886
wavelet-LLH_glcm_DifferenceAverage,0.8242169916680617,0.39974282681941986
wavelet-LLH_glcm_DifferenceEntropy,0.7577101795908183,0.37350593507289886
wavelet-LLH_glcm_DifferenceVariance,0.7669901225322832,0.6276643574237823
wavelet-LLH_glcm_Id,0.7937160085031009,0.21085703372955322
wavelet-LLH_glcm_Idm,0.7840312585689586,0.19368016719818115
wavelet-LLH_glcm_Idmn,0.7861264176602827,0.11668527126312256
wavelet-LLH_glcm_Idn,0.79491699774,0.219833105802536
wavelet-LLH_glcm_Imc1,0.9364399048665487,0.23857179284095764
wavelet-LLH_glcm_Imc2,0.793779529179918,0.2290707677602768
wavelet-LLH_glcm_InverseVariance,0.7877258896263006,0.1698138564825058
wavelet-LLH_glcm_SumSquares,0.8221936100104755,0.6616804599761963
